date,business_id,revenue,visits,review_count,avg_rating,is_weekend,local_event_flag,marketing_spend
2024-07-01,blue_bottle_cafe,1843.53,151,321,4.50,0,0,0.00
2024-07-01,corner_bakery,413.31,35,95,4.59,0,0,0.00
2024-07-01,evergreen_boutique,1712.70,35,60,4.31,0,0,0.00
2024-07-01,iron_pulse_gym,3867.09,121,220,3.90,0,0,0.00
2024-07-01,nonna_trattoria,2993.61,74,410,4.40,0,0,0.00
2024-07-01,shear_genius_salon,1160.87,28,140,4.20,0,0,0.00
2024-07-02,blue_bottle_cafe,2337.03,186,321,4.51,0,1,0.00
2024-07-02,corner_bakery,360.85,42,95,4.59,0,1,0.00
2024-07-02,evergreen_boutique,1754.79,39,60,4.30,0,1,0.00
2024-07-02,iron_pulse_gym,3457.13,117,220,3.90,0,1,0.00
2024-07-02,nonna_trattoria,6036.85,136,410,4.40,0,1,0.00
2024-07-02,shear_genius_salon,2190.41,38,140,4.20,0,1,0.00
2024-07-03,blue_bottle_cafe,2160.43,179,321,4.51,0,0,0.00
2024-07-03,corner_bakery,506.26,54,96,4.58,0,0,0.00
2024-07-03,evergreen_boutique,1635.07,34,60,4.31,0,0,0.00
2024-07-03,nonna_trattoria,5384.60,111,412,4.40,0,0,0.00
2024-07-03,shear_genius_salon,2248.18,39,140,4.19,0,0,0.00
2024-07-04,blue_bottle_cafe,1644.60,151,321,4.52,0,0,0.00
2024-07-04,corner_bakery,372.14,42,96,4.59,0,0,0.00
2024-07-04,evergreen_boutique,1940.30,38,60,4.31,0,0,0.00
2024-07-04,nonna_trattoria,6350.52,185,413,4.40,0,0,300.00
2024-07-04,shear_genius_salon,2095.90,41,140,4.19,0,0,0.00
2024-07-05,blue_bottle_cafe,2873.92,224,321,4.52,0,0,0.00
2024-07-05,corner_bakery,665.16,83,96,4.60,0,0,0.00
2024-07-05,evergreen_boutique,1542.98,40,60,4.31,0,0,0.00
2024-07-05,iron_pulse_gym,3378.90,118,220,3.89,0,0,0.00
2024-07-05,nonna_trattoria,11035.17,282,414,4.40,0,0,0.00
2024-07-05,shear_genius_salon,2140.66,53,143,4.20,0,0,0.00
2024-07-06,blue_bottle_cafe,3496.61,264,321,4.52,1,0,0.00
2024-07-06,evergreen_boutique,2124.19,47,60,4.31,1,0,0.00
2024-07-06,iron_pulse_gym,3020.90,94,220,3.89,1,0,0.00
2024-07-06,nonna_trattoria,8274.95,283,415,4.40,1,0,0.00
2024-07-06,shear_genius_salon,2691.94,50,143,4.20,1,0,0.00
2024-07-07,blue_bottle_cafe,2347.02,240,322,4.52,1,0,0.00
2024-07-07,corner_bakery,686.00,86,97,4.60,1,0,0.00
2024-07-07,evergreen_boutique,1633.78,34,60,4.31,1,0,0.00
2024-07-07,iron_pulse_gym,1757.76,63,220,3.89,1,0,0.00
2024-07-07,nonna_trattoria,9847.01,257,416,4.40,1,0,100.00
2024-07-07,shear_genius_salon,987.54,17,144,4.20,1,0,0.00
2024-07-08,blue_bottle_cafe,1663.48,147,325,4.53,0,0,0.00
2024-07-08,corner_bakery,254.71,30,97,4.61,0,0,0.00
2024-07-08,evergreen_boutique,1513.35,34,60,4.31,0,0,150.00
2024-07-08,iron_pulse_gym,4042.68,140,220,3.89,0,0,0.00
2024-07-08,nonna_trattoria,4322.96,115,416,4.40,0,0,0.00
2024-07-08,shear_genius_salon,1724.78,27,144,4.21,0,0,0.00
2024-07-09,blue_bottle_cafe,1378.43,133,326,4.53,0,0,0.00
2024-07-09,evergreen_boutique,1776.29,38,60,4.31,0,0,0.00
2024-07-09,iron_pulse_gym,3309.61,131,220,3.89,0,0,0.00
2024-07-09,nonna_trattoria,4095.02,111,416,4.40,0,0,0.00
2024-07-09,shear_genius_salon,2651.81,43,144,4.21,0,0,0.00
2024-07-10,blue_bottle_cafe,1758.24,153,327,4.52,0,0,0.00
